dt,product,industry,apps
4/26/21,A,Retail,39
4/26/21,A,Beauty Industry,15
4/26/21,A,Transportation,62
4/26/21,A,Communication Services,119
4/26/21,A,Consulting,25
4/26/21,A,Janitorial Services,10
4/27/21,B,Financial Services,80
4/27/21,B,Retail,162
4/27/21,B,Beauty Industry,65
4/27/21,B,Construction,6
4/27/21,B,Transportation,196
4/27/21,B,Communication Services,583
4/27/21,B,Consulting,66
4/27/21,B,Janitorial Services,60
4/27/21,A,Financial Services,28
4/27/21,A,Retail,48
4/27/21,A,Beauty Industry,11
4/27/21,A,Transportation,71
4/27/21,A,Communication Services,131
4/27/21,A,Consulting,26
4/27/21,A,Janitorial Services,16
4/28/21,B,Financial Services,69
4/28/21,B,Retail,143
4/28/21,B,Beauty Industry,73
4/28/21,B,Construction,16
4/28/21,B,Transportation,216
4/28/21,B,Communication Services,548
4/28/21,B,Consulting,71
4/28/21,B,Janitorial Services,51
4/28/21,A,Financial Services,37
4/28/21,A,Retail,38
4/28/21,A,Beauty Industry,68
4/28/21,A,Construction,5
4/28/21,A,Agriculture,8
4/28/21,A,Transportation,148
4/28/21,A,Communication Services,289
4/28/21,A,Consulting,37
4/28/21,A,Janitorial Services,24
4/29/21,B,Financial Services,74
4/29/21,B,Retail,167
4/29/21,B,Beauty Industry,57
4/29/21,B,Construction,13
4/29/21,B,Agriculture,4
4/29/21,B,Transportation,200
4/29/21,B,Communication Services,578
4/29/21,B,Consulting,64
4/29/21,B,Janitorial Services,69
4/29/21,A,Financial Services,26
4/29/21,A,Retail,59
4/29/21,A,Beauty Industry,40
4/29/21,A,Construction,6
4/29/21,A,Agriculture,5
4/29/21,A,Transportation,142
4/29/21,A,Communication Services,337
4/29/21,A,Consulting,57
4/29/21,A,Janitorial Services,35
4/30/21,B,Financial Services,58
4/30/21,B,Retail,125
4/30/21,B,Beauty Industry,52
4/30/21,B,Construction,8
4/30/21,B,Transportation,190
4/30/21,B,Communication Services,506
4/30/21,B,Consulting,65
4/30/21,B,Janitorial Services,50
4/30/21,A,Financial Services,24
4/30/21,A,Retail,57
4/30/21,A,Beauty Industry,35
4/30/21,A,Construction,6
4/30/21,A,Agriculture,6
4/30/21,A,Transportation,104
4/30/21,A,Communication Services,230
4/30/21,A,Consulting,36
4/30/21,A,Janitorial Services,28
5/1/21,B,Financial Services,42
5/1/21,B,Retail,47
5/1/21,B,Beauty Industry,26
5/1/21,B,Construction,4
5/1/21,B,Transportation,92
5/1/21,B,Communication Services,213
5/1/21,B,Consulting,20
5/1/21,B,Janitorial Services,19
5/1/21,A,Financial Services,16
5/1/21,A,Retail,33
5/1/21,A,Beauty Industry,7
5/1/21,A,Construction,6
5/1/21,A,Agriculture,3
5/1/21,A,Transportation,92
5/1/21,A,Communication Services,150
5/1/21,A,Consulting,22
5/1/21,A,Janitorial Services,13
5/2/21,B,Financial Services,38
5/2/21,B,Retail,75
5/2/21,B,Beauty Industry,26
5/2/21,B,Agriculture,3
5/2/21,B,Transportation,77
5/2/21,B,Communication Services,218
5/2/21,B,Consulting,21
5/2/21,B,Janitorial Services,14
5/2/21,A,Financial Services,38
5/2/21,A,Retail,40
5/2/21,A,Beauty Industry,14
5/2/21,A,Construction,4
5/2/21,A,Agriculture,3
5/2/21,A,Transportation,54
5/2/21,A,Communication Services,118
5/2/21,A,Consulting,28
5/2/21,A,Janitorial Services,7
5/3/21,B,Financial Services,86
5/3/21,B,Retail,152
5/3/21,B,Beauty Industry,59
5/3/21,B,Construction,11
5/3/21,B,Transportation,190
5/3/21,B,Communication Services,662
5/3/21,B,Consulting,86
5/3/21,B,Janitorial Services,49
5/3/21,A,Financial Services,27
5/3/21,A,Retail,43
5/3/21,A,Beauty Industry,24
5/3/21,A,Construction,4
5/3/21,A,Agriculture,4
5/3/21,A,Transportation,82
5/3/21,A,Communication Services,162
5/3/21,A,Consulting,19
5/3/21,A,Janitorial Services,21
5/4/21,B,Financial Services,84
5/4/21,B,Retail,158
5/4/21,B,Beauty Industry,68
5/4/21,B,Construction,10
5/4/21,B,Transportation,212
5/4/21,B,Communication Services,651
5/4/21,B,Consulting,87
5/4/21,B,Janitorial Services,73
5/4/21,A,Financial Services,18
5/4/21,A,Retail,42
5/4/21,A,Beauty Industry,11
5/4/21,A,Construction,5
5/4/21,A,Transportation,83
5/4/21,A,Communication Services,152
5/4/21,A,Consulting,18
5/4/21,A,Janitorial Services,13
5/5/21,B,Financial Services,92
5/5/21,B,Retail,159
5/5/21,B,Beauty Industry,70
5/5/21,B,Construction,11
5/5/21,B,Agriculture,3
5/5/21,B,Transportation,169
5/5/21,B,Communication Services,524
5/5/21,B,Consulting,70
5/5/21,B,Janitorial Services,59
5/5/21,A,Financial Services,21
5/5/21,A,Retail,36
5/5/21,A,Beauty Industry,15
5/5/21,A,Construction,5
5/5/21,A,Agriculture,3
5/5/21,A,Transportation,75
5/5/21,A,Communication Services,147
5/5/21,A,Consulting,17
5/5/21,A,Janitorial Services,19
5/6/21,B,Financial Services,75
5/6/21,B,Retail,200
5/6/21,B,Beauty Industry,68
5/6/21,B,Construction,8
5/6/21,B,Agriculture,3
5/6/21,B,Transportation,183
5/6/21,B,Communication Services,512
5/6/21,B,Consulting,84
5/6/21,B,Janitorial Services,68
5/6/21,A,Financial Services,25
5/6/21,A,Retail,47
5/6/21,A,Beauty Industry,15
5/6/21,A,Construction,5
5/6/21,A,Transportation,57
5/6/21,A,Communication Services,145
5/6/21,A,Consulting,36
5/6/21,A,Janitorial Services,22
5/7/21,B,Financial Services,50
5/7/21,B,Retail,140
5/7/21,B,Beauty Industry,57
5/7/21,B,Construction,11
5/7/21,B,Transportation,147
5/7/21,B,Communication Services,406
5/7/21,B,Consulting,62
5/7/21,B,Janitorial Services,37
5/7/21,A,Financial Services,18
5/7/21,A,Retail,28
5/7/21,A,Beauty Industry,8
5/7/21,A,Construction,3
5/7/21,A,Agriculture,3
5/7/21,A,Transportation,58
5/7/21,A,Communication Services,97
5/7/21,A,Consulting,28
5/7/21,A,Janitorial Services,14
5/8/21,B,Financial Services,41
5/8/21,B,Retail,57
5/8/21,B,Beauty Industry,20
5/8/21,B,Construction,8
5/8/21,B,Transportation,64
5/8/21,B,Communication Services,168
5/8/21,B,Consulting,24
5/8/21,B,Janitorial Services,22
5/8/21,A,Financial Services,9
5/8/21,A,Retail,25
5/8/21,A,Beauty Industry,8
5/8/21,A,Agriculture,3
5/8/21,A,Transportation,39
5/8/21,A,Communication Services,91
5/8/21,A,Consulting,18
5/8/21,A,Janitorial Services,9
5/9/21,B,Financial Services,24
5/9/21,B,Retail,49
5/9/21,B,Beauty Industry,16
5/9/21,B,Construction,4
5/9/21,B,Transportation,52
5/9/21,B,Communication Services,165
5/9/21,B,Consulting,26
5/9/21,B,Janitorial Services,29
5/9/21,A,Financial Services,18
5/9/21,A,Retail,15
5/9/21,A,Beauty Industry,4
5/9/21,A,Construction,5
5/9/21,A,Transportation,42
5/9/21,A,Communication Services,53
5/9/21,A,Consulting,13
5/9/21,A,Janitorial Services,10
5/10/21,B,Financial Services,60
5/10/21,B,Retail,168
5/10/21,B,Beauty Industry,62
5/10/21,B,Construction,11
5/10/21,B,Agriculture,5
5/10/21,B,Transportation,185
5/10/21,B,Communication Services,563
5/10/21,B,Consulting,79
5/10/21,B,Janitorial Services,61
5/10/21,A,Financial Services,22
5/10/21,A,Retail,46
5/10/21,A,Beauty Industry,15
5/10/21,A,Construction,9
5/10/21,A,Transportation,82
5/10/21,A,Communication Services,163
5/10/21,A,Consulting,14
5/10/21,A,Janitorial Services,18
5/11/21,B,Financial Services,60
5/11/21,B,Retail,172
5/11/21,B,Beauty Industry,83
5/11/21,B,Construction,16
5/11/21,B,Agriculture,3
5/11/21,B,Transportation,164
5/11/21,B,Communication Services,530
5/11/21,B,Consulting,70
5/11/21,B,Janitorial Services,57
5/11/21,A,Financial Services,33
5/11/21,A,Retail,49
5/11/21,A,Beauty Industry,17
5/11/21,A,Construction,6
5/11/21,A,Agriculture,3
5/11/21,A,Transportation,69
5/11/21,A,Communication Services,180
5/11/21,A,Consulting,30
5/11/21,A,Janitorial Services,25
5/12/21,B,Financial Services,65
5/12/21,B,Retail,172
5/12/21,B,Beauty Industry,58
5/12/21,B,Construction,10
5/12/21,B,Agriculture,4
5/12/21,B,Transportation,186
5/12/21,B,Communication Services,495
5/12/21,B,Consulting,66
5/12/21,B,Janitorial Services,62
5/12/21,A,Financial Services,19
5/12/21,A,Retail,57
5/12/21,A,Beauty Industry,15
5/12/21,A,Construction,6
5/12/21,A,Transportation,70
5/12/21,A,Communication Services,152
5/12/21,A,Consulting,30
5/12/21,A,Janitorial Services,22
5/13/21,B,Financial Services,44
5/13/21,B,Retail,131
5/13/21,B,Beauty Industry,48
5/13/21,B,Construction,8
5/13/21,B,Agriculture,5
5/13/21,B,Transportation,160
5/13/21,B,Communication Services,458
5/13/21,B,Consulting,48
5/13/21,B,Janitorial Services,62
5/13/21,A,Financial Services,21
5/13/21,A,Retail,47
5/13/21,A,Beauty Industry,18
5/13/21,A,Construction,6
5/13/21,A,Transportation,69
5/13/21,A,Communication Services,159
5/13/21,A,Consulting,22
5/13/21,A,Janitorial Services,19
5/14/21,B,Financial Services,42
5/14/21,B,Retail,124
5/14/21,B,Beauty Industry,55
5/14/21,B,Construction,8
5/14/21,B,Transportation,126
5/14/21,B,Communication Services,416
5/14/21,B,Consulting,64
5/14/21,B,Janitorial Services,64
5/14/21,A,Financial Services,13
5/14/21,A,Retail,52
5/14/21,A,Beauty Industry,9
5/14/21,A,Construction,9
5/14/21,A,Agriculture,3
5/14/21,A,Transportation,60
5/14/21,A,Communication Services,150
5/14/21,A,Consulting,24
5/14/21,A,Janitorial Services,14
5/15/21,B,Financial Services,29
5/15/21,B,Retail,54
5/15/21,B,Beauty Industry,15
5/15/21,B,Construction,7
5/15/21,B,Agriculture,5
5/15/21,B,Transportation,52
5/15/21,B,Communication Services,153
5/15/21,B,Consulting,36
5/15/21,B,Janitorial Services,11
5/15/21,A,Financial Services,14
5/15/21,A,Retail,21
5/15/21,A,Beauty Industry,8
5/15/21,A,Construction,3
5/15/21,A,Transportation,40
5/15/21,A,Communication Services,103
5/15/21,A,Consulting,17
5/15/21,A,Janitorial Services,15
5/16/21,B,Financial Services,46
5/16/21,B,Retail,69
5/16/21,B,Beauty Industry,29
5/16/21,B,Construction,4
5/16/21,B,Transportation,66
5/16/21,B,Communication Services,179
5/16/21,B,Consulting,28
5/16/21,B,Janitorial Services,21
5/16/21,A,Financial Services,25
5/16/21,A,Retail,30
5/16/21,A,Beauty Industry,10
5/16/21,A,Transportation,46
5/16/21,A,Communication Services,99
5/16/21,A,Consulting,19
5/16/21,A,Janitorial Services,14
5/17/21,B,Financial Services,63
5/17/21,B,Retail,154
5/17/21,B,Beauty Industry,69
5/17/21,B,Construction,14
5/17/21,B,Transportation,197
5/17/21,B,Communication Services,464
5/17/21,B,Consulting,95
5/17/21,B,Janitorial Services,69
5/17/21,A,Financial Services,28
5/17/21,A,Retail,53
5/17/21,A,Beauty Industry,20
5/17/21,A,Construction,4
5/17/21,A,Transportation,71
5/17/21,A,Communication Services,142
5/17/21,A,Consulting,30
5/17/21,A,Janitorial Services,16
5/18/21,B,Financial Services,70
5/18/21,B,Retail,159
5/18/21,B,Beauty Industry,83
5/18/21,B,Construction,7
5/18/21,B,Agriculture,4
5/18/21,B,Transportation,153
5/18/21,B,Communication Services,491
5/18/21,B,Consulting,85
5/18/21,B,Janitorial Services,51
5/18/21,A,Financial Services,18
5/18/21,A,Retail,42
5/18/21,A,Beauty Industry,9
5/18/21,A,Construction,3
5/18/21,A,Transportation,69
5/18/21,A,Communication Services,140
5/18/21,A,Consulting,19
5/18/21,A,Janitorial Services,16
5/19/21,B,Financial Services,54
5/19/21,B,Retail,158
5/19/21,B,Beauty Industry,62
5/19/21,B,Construction,13
5/19/21,B,Agriculture,3
5/19/21,B,Transportation,159
5/19/21,B,Communication Services,533
5/19/21,B,Consulting,72
5/19/21,B,Janitorial Services,63
5/19/21,A,Financial Services,27
5/19/21,A,Retail,48
5/19/21,A,Beauty Industry,26
5/19/21,A,Construction,3
5/19/21,A,Agriculture,3
5/19/21,A,Transportation,69
5/19/21,A,Communication Services,140
5/19/21,A,Consulting,26
5/19/21,A,Janitorial Services,13
5/20/21,B,Financial Services,51
5/20/21,B,Retail,146
5/20/21,B,Beauty Industry,64
5/20/21,B,Construction,15
5/20/21,B,Agriculture,5
5/20/21,B,Transportation,136
5/20/21,B,Communication Services,445
5/20/21,B,Consulting,55
5/20/21,B,Janitorial Services,65
5/20/21,A,Financial Services,28
5/20/21,A,Retail,40
5/20/21,A,Beauty Industry,10
5/20/21,A,Construction,4
5/20/21,A,Agriculture,3
5/20/21,A,Transportation,69
5/20/21,A,Communication Services,143
5/20/21,A,Consulting,16
5/20/21,A,Janitorial Services,18
5/21/21,B,Financial Services,52
5/21/21,B,Retail,128
5/21/21,B,Beauty Industry,36
5/21/21,B,Construction,8
5/21/21,B,Agriculture,5
5/21/21,B,Transportation,139
5/21/21,B,Communication Services,383
5/21/21,B,Consulting,43
5/21/21,B,Janitorial Services,43
5/21/21,A,Financial Services,28
5/21/21,A,Retail,43
5/21/21,A,Beauty Industry,13
5/21/21,A,Construction,4
5/21/21,A,Transportation,69
5/21/21,A,Communication Services,134
5/21/21,A,Consulting,21
5/21/21,A,Janitorial Services,10
5/22/21,B,Financial Services,29
5/22/21,B,Retail,43
5/22/21,B,Beauty Industry,16
5/22/21,B,Construction,6
5/22/21,B,Transportation,57
5/22/21,B,Communication Services,142
5/22/21,B,Consulting,29
5/22/21,B,Janitorial Services,16
5/22/21,A,Financial Services,11
5/22/21,A,Retail,25
5/22/21,A,Beauty Industry,6
5/22/21,A,Construction,5
5/22/21,A,Transportation,57
5/22/21,A,Communication Services,72
5/22/21,A,Consulting,18
5/22/21,A,Janitorial Services,5
5/23/21,B,Financial Services,37
5/23/21,B,Retail,55
5/23/21,B,Beauty Industry,25
5/23/21,B,Agriculture,5
5/23/21,B,Transportation,63
5/23/21,B,Communication Services,157
5/23/21,B,Consulting,17
5/23/21,B,Janitorial Services,13
5/23/21,A,Financial Services,11
5/23/21,A,Retail,26
5/23/21,A,Beauty Industry,4
5/23/21,A,Construction,5
5/23/21,A,Agriculture,3
5/23/21,A,Transportation,50
5/23/21,A,Communication Services,62
5/23/21,A,Consulting,11
5/23/21,A,Janitorial Services,6
5/24/21,B,Financial Services,63
5/24/21,B,Retail,160
5/24/21,B,Beauty Industry,58
5/24/21,B,Construction,9
5/24/21,B,Agriculture,4
5/24/21,B,Transportation,165
5/24/21,B,Communication Services,506
5/24/21,B,Consulting,59
5/24/21,B,Janitorial Services,60
5/24/21,A,Financial Services,21
5/24/21,A,Retail,43
5/24/21,A,Beauty Industry,18
5/24/21,A,Construction,7
5/24/21,A,Transportation,65
5/24/21,A,Communication Services,161
5/24/21,A,Consulting,24
5/24/21,A,Janitorial Services,16
5/25/21,B,Financial Services,62
5/25/21,B,Retail,157
5/25/21,B,Beauty Industry,58
5/25/21,B,Construction,10
5/25/21,B,Agriculture,5
5/25/21,B,Transportation,165
5/25/21,B,Communication Services,504
5/25/21,B,Consulting,58
5/25/21,B,Janitorial Services,39
5/25/21,A,Financial Services,21
5/25/21,A,Retail,44
5/25/21,A,Beauty Industry,17
5/25/21,A,Construction,5
5/25/21,A,Agriculture,4
5/25/21,A,Transportation,80
5/25/21,A,Communication Services,147
5/25/21,A,Consulting,35
5/25/21,A,Janitorial Services,26
5/26/21,B,Financial Services,60
5/26/21,B,Retail,121
5/26/21,B,Beauty Industry,50
5/26/21,B,Construction,14
5/26/21,B,Agriculture,3
5/26/21,B,Transportation,175
5/26/21,B,Communication Services,491
5/26/21,B,Consulting,66
5/26/21,B,Janitorial Services,49
5/26/21,A,Financial Services,30
5/26/21,A,Retail,52
5/26/21,A,Beauty Industry,13
5/26/21,A,Construction,5
5/26/21,A,Agriculture,5
5/26/21,A,Transportation,83
5/26/21,A,Communication Services,154
5/26/21,A,Consulting,22
5/26/21,A,Janitorial Services,17
5/27/21,B,Financial Services,59
5/27/21,B,Retail,124
5/27/21,B,Beauty Industry,60
5/27/21,B,Construction,11
5/27/21,B,Agriculture,4
5/27/21,B,Transportation,158
5/27/21,B,Communication Services,473
5/27/21,B,Consulting,50
5/27/21,B,Janitorial Services,48
5/27/21,A,Financial Services,26
5/27/21,A,Retail,33
5/27/21,A,Beauty Industry,9
5/27/21,A,Construction,4
5/27/21,A,Transportation,62
5/27/21,A,Communication Services,114
5/27/21,A,Consulting,21
5/27/21,A,Janitorial Services,10
5/28/21,B,Financial Services,50
5/28/21,B,Retail,125
5/28/21,B,Beauty Industry,51
5/28/21,B,Construction,6
5/28/21,B,Agriculture,6
5/28/21,B,Transportation,118
5/28/21,B,Communication Services,424
5/28/21,B,Consulting,66
5/28/21,B,Janitorial Services,39
5/28/21,A,Financial Services,28
5/28/21,A,Retail,29
5/28/21,A,Beauty Industry,16
5/28/21,A,Construction,4
5/28/21,A,Transportation,66
5/28/21,A,Communication Services,117
5/28/21,A,Consulting,18
5/28/21,A,Janitorial Services,19
5/29/21,B,Financial Services,28
5/29/21,B,Retail,48
5/29/21,B,Beauty Industry,14
5/29/21,B,Construction,4
5/29/21,B,Transportation,54
5/29/21,B,Communication Services,153
5/29/21,B,Consulting,21
5/29/21,B,Janitorial Services,20
5/29/21,A,Financial Services,11
5/29/21,A,Retail,24
5/29/21,A,Beauty Industry,8
5/29/21,A,Construction,3
5/29/21,A,Agriculture,3
5/29/21,A,Transportation,46
5/29/21,A,Communication Services,76
5/29/21,A,Consulting,14
5/29/21,A,Janitorial Services,9
5/30/21,B,Financial Services,25
5/30/21,B,Retail,46
5/30/21,B,Beauty Industry,14
5/30/21,B,Construction,3
5/30/21,B,Transportation,37
5/30/21,B,Communication Services,146
5/30/21,B,Consulting,19
5/30/21,B,Janitorial Services,5
5/30/21,A,Financial Services,10
5/30/21,A,Retail,27
5/30/21,A,Beauty Industry,5
5/30/21,A,Construction,5
5/30/21,A,Agriculture,3
5/30/21,A,Transportation,41
5/30/21,A,Communication Services,80
5/30/21,A,Consulting,17
5/30/21,A,Janitorial Services,7
5/31/21,B,Financial Services,51
5/31/21,B,Retail,65
5/31/21,B,Beauty Industry,11
5/31/21,B,Construction,3
5/31/21,B,Agriculture,3
5/31/21,B,Transportation,86
5/31/21,B,Communication Services,228
5/31/21,B,Consulting,42
5/31/21,B,Janitorial Services,13
5/31/21,A,Financial Services,20
5/31/21,A,Retail,30
5/31/21,A,Beauty Industry,9
5/31/21,A,Construction,3
5/31/21,A,Agriculture,3
5/31/21,A,Transportation,46
5/31/21,A,Communication Services,91
5/31/21,A,Consulting,13
5/31/21,A,Janitorial Services,16
6/1/21,B,Financial Services,82
6/1/21,B,Retail,174
6/1/21,B,Beauty Industry,79
6/1/21,B,Construction,9
6/1/21,B,Agriculture,3
6/1/21,B,Transportation,172
6/1/21,B,Communication Services,667
6/1/21,B,Consulting,87
6/1/21,B,Janitorial Services,61
6/1/21,A,Financial Services,22
6/1/21,A,Retail,47
6/1/21,A,Beauty Industry,21
6/1/21,A,Construction,8
6/1/21,A,Transportation,68
6/1/21,A,Communication Services,169
6/1/21,A,Consulting,22
6/1/21,A,Janitorial Services,15
6/2/21,B,Financial Services,76
6/2/21,B,Retail,152
6/2/21,B,Beauty Industry,65
6/2/21,B,Construction,8
6/2/21,B,Agriculture,5
6/2/21,B,Transportation,180
6/2/21,B,Communication Services,580
6/2/21,B,Consulting,69
6/2/21,B,Janitorial Services,51
6/2/21,A,Financial Services,33
6/2/21,A,Retail,47
6/2/21,A,Beauty Industry,14
6/2/21,A,Construction,5
6/2/21,A,Agriculture,4
6/2/21,A,Transportation,68
6/2/21,A,Communication Services,148
6/2/21,A,Consulting,27
6/2/21,A,Janitorial Services,13
6/3/21,B,Financial Services,66
6/3/21,B,Retail,157
6/3/21,B,Beauty Industry,44
6/3/21,B,Construction,9
6/3/21,B,Agriculture,3
6/3/21,B,Transportation,169
6/3/21,B,Communication Services,491
6/3/21,B,Consulting,72
6/3/21,B,Janitorial Services,68
6/3/21,A,Financial Services,28
6/3/21,A,Retail,43
6/3/21,A,Beauty Industry,15
6/3/21,A,Construction,4
6/3/21,A,Agriculture,3
6/3/21,A,Transportation,85
6/3/21,A,Communication Services,131
6/3/21,A,Consulting,21
6/3/21,A,Janitorial Services,18
6/4/21,B,Financial Services,53
6/4/21,B,Retail,109
6/4/21,B,Beauty Industry,60
6/4/21,B,Construction,6
6/4/21,B,Transportation,115
6/4/21,B,Communication Services,387
6/4/21,B,Consulting,71
6/4/21,B,Janitorial Services,43
6/4/21,A,Financial Services,20
6/4/21,A,Retail,36
6/4/21,A,Beauty Industry,14
6/4/21,A,Construction,4
6/4/21,A,Agriculture,3
6/4/21,A,Transportation,51
6/4/21,A,Communication Services,137
6/4/21,A,Consulting,22
6/4/21,A,Janitorial Services,14
6/5/21,B,Financial Services,21
6/5/21,B,Retail,51
6/5/21,B,Beauty Industry,14
6/5/21,B,Construction,6
6/5/21,B,Transportation,61
6/5/21,B,Communication Services,124
6/5/21,B,Consulting,25
6/5/21,B,Janitorial Services,18
6/5/21,A,Financial Services,16
6/5/21,A,Retail,30
6/5/21,A,Beauty Industry,7
6/5/21,A,Transportation,41
6/5/21,A,Communication Services,85
6/5/21,A,Consulting,20
6/5/21,A,Janitorial Services,10
6/6/21,B,Financial Services,28
6/6/21,B,Retail,50
6/6/21,B,Beauty Industry,22
6/6/21,B,Construction,3
6/6/21,B,Transportation,70
6/6/21,B,Communication Services,159
6/6/21,B,Consulting,27
6/6/21,B,Janitorial Services,11
6/6/21,A,Financial Services,11
6/6/21,A,Retail,24
6/6/21,A,Beauty Industry,11
6/6/21,A,Construction,3
6/6/21,A,Transportation,49
6/6/21,A,Communication Services,83
6/6/21,A,Consulting,18
6/6/21,A,Janitorial Services,16
6/7/21,B,Financial Services,65
6/7/21,B,Retail,131
6/7/21,B,Beauty Industry,64
6/7/21,B,Construction,14
6/7/21,B,Agriculture,4
6/7/21,B,Transportation,170
6/7/21,B,Communication Services,556
6/7/21,B,Consulting,74
6/7/21,B,Janitorial Services,61
6/7/21,A,Financial Services,22
6/7/21,A,Retail,53
6/7/21,A,Beauty Industry,20
6/7/21,A,Construction,4
6/7/21,A,Transportation,68
6/7/21,A,Communication Services,138
6/7/21,A,Consulting,18
6/7/21,A,Janitorial Services,18
6/8/21,B,Financial Services,60
6/8/21,B,Retail,154
6/8/21,B,Beauty Industry,68
6/8/21,B,Construction,8
6/8/21,B,Agriculture,5
6/8/21,B,Transportation,171
6/8/21,B,Communication Services,522
6/8/21,B,Consulting,61
6/8/21,B,Janitorial Services,58
6/8/21,A,Financial Services,19
6/8/21,A,Retail,42
6/8/21,A,Beauty Industry,17
6/8/21,A,Construction,3
6/8/21,A,Transportation,57
6/8/21,A,Communication Services,123
6/8/21,A,Consulting,30
6/8/21,A,Janitorial Services,8
6/9/21,B,Financial Services,53
6/9/21,B,Retail,140
6/9/21,B,Beauty Industry,53
6/9/21,B,Construction,11
6/9/21,B,Agriculture,15
6/9/21,B,Transportation,156
6/9/21,B,Communication Services,489
6/9/21,B,Consulting,73
6/9/21,B,Janitorial Services,58
6/9/21,A,Financial Services,16
6/9/21,A,Retail,40
6/9/21,A,Beauty Industry,19
6/9/21,A,Construction,5
6/9/21,A,Transportation,58
6/9/21,A,Communication Services,118
6/9/21,A,Consulting,20
6/9/21,A,Janitorial Services,19
6/10/21,B,Financial Services,50
6/10/21,B,Retail,125
6/10/21,B,Beauty Industry,57
6/10/21,B,Construction,9
6/10/21,B,Agriculture,6
6/10/21,B,Transportation,180
6/10/21,B,Communication Services,458
6/10/21,B,Consulting,70
6/10/21,B,Janitorial Services,64
6/10/21,A,Financial Services,26
6/10/21,A,Retail,55
6/10/21,A,Beauty Industry,16
6/10/21,A,Agriculture,3
6/10/21,A,Transportation,58
6/10/21,A,Communication Services,136
6/10/21,A,Consulting,10
6/10/21,A,Janitorial Services,18
6/11/21,B,Financial Services,42
6/11/21,B,Retail,116
6/11/21,B,Beauty Industry,61
6/11/21,B,Construction,8
6/11/21,B,Agriculture,4
6/11/21,B,Transportation,128
6/11/21,B,Communication Services,426
6/11/21,B,Consulting,61
6/11/21,B,Janitorial Services,54
6/11/21,A,Financial Services,17
6/11/21,A,Retail,43
6/11/21,A,Beauty Industry,20
6/11/21,A,Construction,3
6/11/21,A,Transportation,58
6/11/21,A,Communication Services,125
6/11/21,A,Consulting,14
6/11/21,A,Janitorial Services,14
6/12/21,B,Financial Services,27
6/12/21,B,Retail,49
6/12/21,B,Beauty Industry,20
6/12/21,B,Construction,6
6/12/21,B,Agriculture,3
6/12/21,B,Transportation,46
6/12/21,B,Communication Services,132
6/12/21,B,Consulting,29
6/12/21,B,Janitorial Services,13
6/12/21,A,Financial Services,9
6/12/21,A,Retail,32
6/12/21,A,Beauty Industry,13
6/12/21,A,Construction,3
6/12/21,A,Transportation,40
6/12/21,A,Communication Services,81
6/12/21,A,Consulting,10
6/12/21,A,Janitorial Services,6
6/13/21,B,Financial Services,19
6/13/21,B,Retail,55
6/13/21,B,Beauty Industry,21
6/13/21,B,Construction,3
6/13/21,B,Transportation,63
6/13/21,B,Communication Services,140
6/13/21,B,Consulting,30
6/13/21,B,Janitorial Services,17
6/13/21,A,Financial Services,10
6/13/21,A,Retail,24
6/13/21,A,Beauty Industry,8
6/13/21,A,Transportation,38
6/13/21,A,Communication Services,82
6/13/21,A,Consulting,19
6/13/21,A,Janitorial Services,10
6/14/21,B,Financial Services,69
6/14/21,B,Retail,181
6/14/21,B,Beauty Industry,57
6/14/21,B,Construction,10
6/14/21,B,Agriculture,4
6/14/21,B,Transportation,165
6/14/21,B,Communication Services,557
6/14/21,B,Consulting,66
6/14/21,B,Janitorial Services,49
6/14/21,A,Financial Services,14
6/14/21,A,Retail,54
6/14/21,A,Beauty Industry,14
6/14/21,A,Construction,5
6/14/21,A,Agriculture,3
6/14/21,A,Transportation,58
6/14/21,A,Communication Services,135
6/14/21,A,Consulting,26
6/14/21,A,Janitorial Services,13
6/15/21,B,Financial Services,46
6/15/21,B,Retail,146
6/15/21,B,Beauty Industry,51
6/15/21,B,Construction,13
6/15/21,B,Agriculture,5
6/15/21,B,Transportation,145
6/15/21,B,Communication Services,472
6/15/21,B,Consulting,73
6/15/21,B,Janitorial Services,52
6/15/21,A,Financial Services,24
6/15/21,A,Retail,40
6/15/21,A,Beauty Industry,13
6/15/21,A,Construction,4
6/15/21,A,Agriculture,4
6/15/21,A,Transportation,59
6/15/21,A,Communication Services,153
6/15/21,A,Consulting,36
6/15/21,A,Janitorial Services,13
6/16/21,B,Financial Services,55
6/16/21,B,Retail,118
6/16/21,B,Beauty Industry,62
6/16/21,B,Construction,8
6/16/21,B,Agriculture,3
6/16/21,B,Transportation,141
6/16/21,B,Communication Services,488
6/16/21,B,Consulting,86
6/16/21,B,Janitorial Services,63
6/16/21,A,Financial Services,20
6/16/21,A,Retail,51
6/16/21,A,Beauty Industry,15
6/16/21,A,Construction,3
6/16/21,A,Transportation,59
6/16/21,A,Communication Services,116
6/16/21,A,Consulting,27
6/16/21,A,Janitorial Services,11
6/17/21,B,Financial Services,35
6/17/21,B,Retail,138
6/17/21,B,Beauty Industry,54
6/17/21,B,Construction,9
6/17/21,B,Agriculture,4
6/17/21,B,Transportation,147
6/17/21,B,Communication Services,444
6/17/21,B,Consulting,59
6/17/21,B,Janitorial Services,62
6/17/21,A,Financial Services,31
6/17/21,A,Retail,36
6/17/21,A,Beauty Industry,14
6/17/21,A,Construction,3
6/17/21,A,Transportation,61
6/17/21,A,Communication Services,145
